,Accuracy,Train Losses,Test Losses,MAE
0,0.9487179487179487,"[0.6596906781196594, 0.6186341022451719, 0.7037069971362749, 0.5993210300803185, 0.6221864024798075, 0.556330588956674, 0.6212271998325983, 0.6215701922774315, 0.67185228317976, 0.5516324701408545]","[0.6525512337684631, 0.6192155182361603, 0.5906789004802704, 0.5777190128962199, 0.5642702877521515, 0.5575369397799174, 0.5443971852461497, 0.5266419450441996, 0.518594890832901, 0.5051055153210958]",0.05128205128205128
1,0.717948717948718,"[0.740858182311058, 0.7347835550705591, 0.7386390765508016, 0.7119709650675455, 0.7262153228123983, 0.7328128616015116, 0.7172922988732656, 0.6944983551899592, 0.7154857168594996, 0.7132091025511423]","[0.6989066402117411, 0.6951358119646708, 0.6943471431732178, 0.6963973442713419, 0.702811042467753, 0.7094723780949911, 0.7137181560198466, 0.7205823659896851, 0.7248845299084982, 0.7255719502766927]",0.28205128205128205
2,0.6794871794871795,"[0.697896828254064, 0.7264710118373235, 0.6984868248303732, 0.6953561156988144, 0.6969637721776962, 0.7044256081183752, 0.6964276731014252, 0.6989525804917017, 0.7044222354888916, 0.6943485836187998]","[0.681215246518453, 0.6841782927513123, 0.6836145917574564, 0.6849233706792196, 0.6891835530598959, 0.6911642154057821, 0.6929086645444235, 0.6904137929280599, 0.690029521783193, 0.6888858278592428]",0.32051282051282054
3,0.8076923076923077,"[0.6966185520092646, 0.6894629001617432, 0.7029862850904465, 0.7146464635928472, 0.6884041875600815, 0.702546238899231, 0.7045566489299139, 0.7019969075918198, 0.6927207261323929, 0.6928925712903341]","[0.7123405337333679, 0.7110610802968343, 0.7083927591641744, 0.700570265452067, 0.6966884930928549, 0.6915447115898132, 0.6898436745007833, 0.6895780762036642, 0.690149207909902, 0.6926535566647848]",0.19230769230769232
4,0.6538461538461539,"[0.6989536335070928, 0.7069922288258871, 0.7023852318525314, 0.7083342373371124, 0.6971862961848577, 0.7029550472895304, 0.70500980814298, 0.7004580348730087, 0.6869081556797028, 0.7023440351088842]","[0.7029178738594055, 0.7033437291781107, 0.7042133609453837, 0.7053222060203552, 0.7052438259124756, 0.7058122555414835, 0.7066678802172343, 0.7077164451281229, 0.7062399784723917, 0.7058031558990479]",0.34615384615384615
5,0.7307692307692307,"[0.7058728833993276, 0.705695703625679, 0.6856514563163122, 0.6886248787244161, 0.6998197138309479, 0.6963602900505066, 0.6944191753864288, 0.6801926046609879, 0.6960194061199824, 0.6946094781160355]","[0.6563091079394022, 0.6573934157689413, 0.6588578820228577, 0.6612691481908163, 0.661871055761973, 0.6618450880050659, 0.661004900932312, 0.6597946286201477, 0.6605252623558044, 0.6620776255925497]",0.2692307692307692
6,0.6153846153846154,"[0.7024426509936651, 0.7084570129712423, 0.695029616355896, 0.7065981775522232, 0.6975844154755274, 0.6936029593149821, 0.7058901687463125, 0.7140712738037109, 0.6945949196815491, 0.6922986954450607]","[0.7124911149342855, 0.7079956531524658, 0.7042703032493591, 0.703426718711853, 0.7008967200915018, 0.6973543564478556, 0.694282611211141, 0.6931255062421163, 0.6920097271601359, 0.6919169624646505]",0.38461538461538464
7,0.5256410256410257,"[0.6960355540116628, 0.7213233262300491, 0.703838105003039, 0.6927769581476847, 0.708930492401123, 0.7140029470125834, 0.7008093347152075, 0.7030467391014099, 0.6943750778834025, 0.7078679849704107]","[0.7266393105189005, 0.720031718413035, 0.7127167582511902, 0.7104401191075643, 0.7110608816146851, 0.7109430233637491, 0.712274968624115, 0.7149957219759623, 0.7162213722864786, 0.7153079907099406]",0.47435897435897434
8,0.7012987012987013,"[0.6996324161688486, 0.7085534483194351, 0.7156065106391907, 0.712910403807958, 0.6905700912078222, 0.6916245222091675, 0.6917422811190287, 0.7045916467905045, 0.7072853595018387, 0.7123893102010092]","[0.7138458887736002, 0.7145567536354065, 0.7148743073145548, 0.7195782661437988, 0.7236942251523336, 0.7289587457974752, 0.7287532289822897, 0.732948879400889, 0.7310685316721598, 0.7229318221410116]",0.2987012987012987
9,0.6363636363636364,"[0.7002362211545309, 0.7137909134229025, 0.6907587846120199, 0.7098898887634277, 0.7096165865659714, 0.6801294982433319, 0.6972709447145462, 0.6906908651192983, 0.6981043467919031, 0.700883482893308]","[0.6932520469029745, 0.6935625871022543, 0.6938240925470988, 0.694251298904419, 0.6937070290247599, 0.693359891573588, 0.6934904456138611, 0.6943097511927286, 0.6950466831525167, 0.6946487228075663]",0.36363636363636365
