,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.7267647567722533, 0.5930357616808679, 0.5128896302647061, 0.5055918217533164, 0.425964724065529, 0.45768686114913887, 0.5018745453821288, 0.575219052636789, 0.5912598974795805, 0.5407055726067888]","[0.5867346599698067, 0.43921101465821266, 0.3457881547510624, 0.29188564512878656, 0.25160456262528896, 0.22793649975210428, 0.2187989205121994, 0.21178831765428185, 0.21141563379205763, 0.21868927916511893]",0.02564102564102564
1,0.9102564102564102,"[0.702054402894444, 0.6362592900792757, 0.6526991716689534, 0.6662156590157085, 0.7210346129205492, 0.7095169474681219, 0.6939684450626373, 0.7431455958220694, 0.64630469514264, 0.710521517528428]","[0.6562108173966408, 0.6551845520734787, 0.6601518802344799, 0.6707884594798088, 0.6719923131167889, 0.6702408753335476, 0.6717612519860268, 0.6627300307154655, 0.6743639968335629, 0.6786432005465031]",0.08974358974358974
2,0.8461538461538461,"[0.697069462802675, 0.6992667582299974, 0.6921646843353907, 0.6795562985870574, 0.6884462121460173, 0.6962567766507467, 0.6907001965575748, 0.6827405012316174, 0.6920901983976364, 0.688238779703776]","[0.6585995703935623, 0.6575725451111794, 0.6590251550078392, 0.6546279042959213, 0.6543000340461731, 0.6571396663784981, 0.6559561640024185, 0.6533136293292046, 0.6522105485200882, 0.6522872000932693]",0.15384615384615385
3,0.8333333333333334,"[0.6932221866316266, 0.6923786087168587, 0.6752498795588812, 0.6906081653303571, 0.7068464085459709, 0.669115946524673, 0.6800862848758698, 0.7090083501405187, 0.6925456474224726, 0.7024437644415431]","[0.7163785919547081, 0.7177952751517296, 0.711435928940773, 0.710298664867878, 0.7189021855592728, 0.709932915866375, 0.7084562852978706, 0.7042300775647163, 0.7097807601094246, 0.7030660957098007]",0.16666666666666666
4,0.6410256410256411,"[0.7135503888130188, 0.6981314023335775, 0.7013958030276828, 0.6978158354759216, 0.6956235153807534, 0.7207397619883219, 0.6973387996355692, 0.7055906852086385, 0.6968266318241755, 0.7074490520689223]","[0.6881882399320602, 0.6951830014586449, 0.6934479251503944, 0.6866796612739563, 0.6843313500285149, 0.6878402233123779, 0.6922405660152435, 0.6958713755011559, 0.6847959756851196, 0.6897582709789276]",0.358974358974359
5,0.9358974358974359,"[0.6912872079345915, 0.6455351801382171, 0.6405828909741508, 0.6441959126128091, 0.6582613405254152, 0.6720409484373199, 0.6546003826790385, 0.6719392591880428, 0.6763303884201579, 0.6365387133426137]","[0.6990076154470444, 0.6859524510800838, 0.6821919158101082, 0.6790448874235153, 0.6730138473212719, 0.6744421683251858, 0.6750222481787205, 0.6820216663181782, 0.6906886585056782, 0.6992167588323355]",0.0641025641025641
6,0.7307692307692307,"[0.7198733074797524, 0.7025245477755865, 0.7132006618711684, 0.7108086032999886, 0.6971839401457045, 0.6941625359985564, 0.6866699887646569, 0.6831320954693688, 0.690078799923261, 0.7026194549269147]","[0.6991426274180412, 0.6925309672951698, 0.6885017156600952, 0.689214438199997, 0.6851373091340065, 0.6836716458201408, 0.6803280487656593, 0.6814509034156799, 0.6702241152524948, 0.6742746457457542]",0.2692307692307692
7,0.5897435897435898,"[0.7043091257413229, 0.7013334863715701, 0.6884356207317777, 0.7074164102474848, 0.7130613939629661, 0.7088911135991415, 0.7056806120607588, 0.6858134236600664, 0.7054233451684316, 0.692287317580647]","[0.7206773906946182, 0.7193344011902809, 0.7189670205116272, 0.7141603082418442, 0.7097617462277412, 0.7080785110592842, 0.7070955783128738, 0.7042247280478477, 0.7055623009800911, 0.7077632546424866]",0.41025641025641024
8,0.7662337662337663,"[0.6900826079977883, 0.7136521935462952, 0.6968691133790545, 0.6989576187398698, 0.6948167814148797, 0.6819138278563818, 0.6944416844182544, 0.6858239356014464, 0.6865204291211234, 0.6910709655947156]","[0.7125758826732635, 0.7087766006588936, 0.7075232118368149, 0.7097805663943291, 0.7085101008415222, 0.7090747058391571, 0.7072488740086555, 0.7070110738277435, 0.7076289132237434, 0.707996629178524]",0.23376623376623376
9,0.7532467532467533,"[0.717492648296886, 0.7140544603268305, 0.7030481547117233, 0.6888127459420098, 0.6999082896444533, 0.7020880712403191, 0.6803513930903541, 0.7027459343274435, 0.6919247259696325, 0.6859638906187482]","[0.6752575784921646, 0.6652680858969688, 0.6628618985414505, 0.658850334584713, 0.659453421831131, 0.6640676409006119, 0.6694848239421844, 0.6783733889460564, 0.6796586513519287, 0.678079828619957]",0.24675324675324675
