,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.6762701405419244, 0.5576410351528062, 0.4494565274152491, 0.4770738176173634, 0.46713559081157047, 0.42313345563080573, 0.4054679683306151, 0.47655610522876185, 0.3928715440237688, 0.5750739126362734]","[0.5641564577817917, 0.4298096001148224, 0.3532803449779749, 0.30183532647788525, 0.27877172362059355, 0.26466377824544907, 0.25461656181141734, 0.25565555738285184, 0.26106229051947594, 0.2633137805387378]",0.02564102564102564
1,0.8974358974358975,"[0.7492251694202423, 0.7155583981010649, 0.6575929696361223, 0.6507746262682809, 0.6883892532851961, 0.7132182783550687, 0.645144522190094, 0.6590085667040613, 0.6614917268355688, 0.6510712131857872]","[0.7120277583599091, 0.7070793658494949, 0.7268647737801075, 0.7327408716082573, 0.7173271663486958, 0.7320841774344444, 0.7378047928214073, 0.7668679133057594, 0.7819252964109182, 0.8071629367768764]",0.10256410256410256
2,0.8589743589743589,"[0.7009776565763686, 0.6735966851313909, 0.7123659484916263, 0.6787298685974545, 0.7100001474221548, 0.6759225378433863, 0.6781573924753401, 0.6748259199990166, 0.6975283556514316, 0.7081976665390862]","[0.6793856099247932, 0.6746125668287277, 0.6659115329384804, 0.662711389362812, 0.6528111100196838, 0.6510038450360298, 0.6562293469905853, 0.6556414812803268, 0.6550248339772224, 0.655131921172142]",0.14102564102564102
3,0.7948717948717948,"[0.6957439829905828, 0.681624518500434, 0.6919001489877701, 0.7061789838804139, 0.6920746780104108, 0.6899901810619566, 0.6878206763002608, 0.7083707981639438, 0.6794349683655633, 0.6926784366369247]","[0.6839877292513847, 0.6827968955039978, 0.6817146018147469, 0.6814221516251564, 0.6818986237049103, 0.6848404631018639, 0.6882540807127953, 0.6841519847512245, 0.6839179396629333, 0.6844795346260071]",0.20512820512820512
4,0.6153846153846154,"[0.7147207392586602, 0.6917338834868537, 0.7006866534550985, 0.6971916125880347, 0.6968874798880683, 0.6884790973530875, 0.6718226969242096, 0.6881997899876701, 0.6891260031196806, 0.7034177283445994]","[0.6861172318458557, 0.6838938742876053, 0.6846306324005127, 0.6843297034502029, 0.6835005059838295, 0.6830444559454918, 0.6839372739195824, 0.6846028864383698, 0.6868701577186584, 0.6886383220553398]",0.38461538461538464
5,0.8974358974358975,"[0.7143668697939979, 0.6987196819649802, 0.6697275340557098, 0.6667266868882709, 0.6789334010746744, 0.7009340276320776, 0.6593376439478662, 0.6483394660883479, 0.6922216920389069, 0.7250064586599668]","[0.6971693485975266, 0.7051567360758781, 0.7118969634175301, 0.7252829968929291, 0.7378057911992073, 0.7359894625842571, 0.738802507519722, 0.7833165228366852, 0.7869713753461838, 0.789132583886385]",0.10256410256410256
6,0.7051282051282052,"[0.7424205823077096, 0.712224112616645, 0.702697335018052, 0.6781574934720993, 0.6865779658158621, 0.7123082876205444, 0.6739968839618895, 0.694737626446618, 0.6846262084113227, 0.6943714569012324]","[0.6922530978918076, 0.6839646250009537, 0.6813142970204353, 0.6899894922971725, 0.6893984451889992, 0.6820851862430573, 0.6819350942969322, 0.6799014061689377, 0.6799793094396591, 0.6804439574480057]",0.2948717948717949
7,0.7435897435897436,"[0.6905990540981293, 0.6862661523951424, 0.6802790694766574, 0.7125810749000974, 0.7077660212914149, 0.6999062630865309, 0.6950164453850852, 0.6861150165398916, 0.709546191824807, 0.6912031753195657]","[0.7029577195644379, 0.7157659903168678, 0.711930438876152, 0.7040854021906853, 0.7079247757792473, 0.7015455141663551, 0.6986798048019409, 0.7033485397696495, 0.7128626853227615, 0.7154025584459305]",0.2564102564102564
8,0.7532467532467533,"[0.7028615689939923, 0.6853932787974676, 0.7207099397977194, 0.704497292637825, 0.6848642859194014, 0.6649458424912559, 0.6788959080974261, 0.6972955134179857, 0.6804905003971524, 0.6890856540865369]","[0.6420402526855469, 0.6439190283417702, 0.6536253169178963, 0.6527822688221931, 0.6452121883630753, 0.6314220875501633, 0.625011995434761, 0.620913065969944, 0.6345411129295826, 0.6638231500983238]",0.24675324675324675
9,0.7012987012987013,"[0.7368058313926061, 0.704441143406762, 0.7128200001186795, 0.7067828079064687, 0.6975855877002081, 0.6712993234395981, 0.6956019583675597, 0.6904551486174265, 0.696855699022611, 0.6750842448737886]","[0.7180439531803131, 0.7095999047160149, 0.7065232619643211, 0.6987793296575546, 0.697164498269558, 0.6953295841813087, 0.6914927735924721, 0.6950874626636505, 0.6949177905917168, 0.6999040469527245]",0.2987012987012987
