,Accuracy,Train Losses,Test Losses,MAE
0,0.9358974358974359,"[0.6449685601724519, 0.5664584603574541, 0.4548605519036452, 0.49480684763855404, 0.39094718400802875, 0.44606757153653437, 0.46597831913580495, 0.56708989944309, 0.5563363314399289, 0.37896031099889016]","[0.6237735375761986, 0.5334638468921185, 0.4958396926522255, 0.4884158158674836, 0.51685297396034, 0.5430782167240977, 0.5587858841754496, 0.5570829212665558, 0.5678664918523282, 0.5776516497135162]",0.0641025641025641
1,0.9230769230769231,"[0.7517577823665407, 0.6838702228334215, 0.6539036615027322, 0.6933413263824251, 0.6755267770753967, 0.6956111407942243, 0.5944878910150793, 0.6618491659561793, 0.6542015613781081, 0.7032160196039412]","[0.6645933538675308, 0.632731705904007, 0.6114556901156902, 0.609632819890976, 0.613820131868124, 0.6191404163837433, 0.6271007210016251, 0.6415465697646141, 0.6629310362040997, 0.6788441240787506]",0.07692307692307693
2,0.8205128205128205,"[0.7013120982382033, 0.6771450233128335, 0.6755695541699728, 0.7000554758641455, 0.6881851562195354, 0.6960010594791837, 0.6771843830744425, 0.6987565325366126, 0.6814700017372767, 0.7032264139917161]","[0.6713383719325066, 0.6779462620615959, 0.6795371249318123, 0.6787993013858795, 0.676386296749115, 0.6660851389169693, 0.6676393076777458, 0.6707615777850151, 0.6748430728912354, 0.6703956425189972]",0.1794871794871795
3,0.7435897435897436,"[0.7006106293863721, 0.6835286170244217, 0.6924223370022244, 0.692824297481113, 0.7065995749500062, 0.6940611766444312, 0.6941676305400001, 0.7087895373503367, 0.6804939028289583, 0.6681979679399066]","[0.67990293353796, 0.6741768196225166, 0.6712245643138885, 0.672739751636982, 0.6727482080459595, 0.671717181801796, 0.675316259264946, 0.6773918569087982, 0.6840103045105934, 0.686406921595335]",0.2564102564102564
4,0.6410256410256411,"[0.7101828770505058, 0.703535356455379, 0.6864065130551656, 0.7015800327062607, 0.6980834884776009, 0.7031228277418349, 0.6920787394046783, 0.7009737392266592, 0.6887327863110436, 0.6950347373882929]","[0.7118014022707939, 0.7083547860383987, 0.7089844346046448, 0.7159082442522049, 0.7131483927369118, 0.7082646191120148, 0.711600162088871, 0.707269124686718, 0.7081171944737434, 0.7113911584019661]",0.358974358974359
5,0.9230769230769231,"[0.6780165516667895, 0.6272279032402568, 0.6515284246868558, 0.6261530179116461, 0.6709277091754807, 0.6646589727865325, 0.713136983414491, 0.6889218265811602, 0.7062076247400708, 0.6599299829039309]","[0.70008435100317, 0.6835778132081032, 0.6814750321209431, 0.6882774569094181, 0.6820234395563602, 0.6824719421565533, 0.6982896756380796, 0.6934721060097218, 0.7073218859732151, 0.6869933847337961]",0.07692307692307693
6,0.782051282051282,"[0.7015837447510825, 0.7009833405415217, 0.6968522618214289, 0.6890897088580661, 0.6977872219350603, 0.6668424788448546, 0.6983111086818907, 0.7176028241713842, 0.6858948444326719, 0.6866091026200188]","[0.6960830241441727, 0.6997144147753716, 0.700606569647789, 0.7079969197511673, 0.7130104079842567, 0.7266677021980286, 0.7302292063832283, 0.7163651287555695, 0.7190621420741081, 0.7254543080925941]",0.21794871794871795
7,0.6282051282051282,"[0.711369534333547, 0.7068031165334914, 0.7081690728664398, 0.7038415239916908, 0.7033781144354079, 0.6982349024878608, 0.6866667485899396, 0.7022308806578318, 0.704379775457912, 0.6959476686186261]","[0.7189104557037354, 0.7169492840766907, 0.7137409672141075, 0.7138768061995506, 0.7122042179107666, 0.7094592526555061, 0.7072077915072441, 0.7060635685920715, 0.7086030691862106, 0.7050248757004738]",0.3717948717948718
8,0.7792207792207793,"[0.6964459187454648, 0.6885951823658414, 0.6900772568252351, 0.6985655112398995, 0.6811095807287428, 0.6979035370879703, 0.6883179056975577, 0.7016908973455429, 0.6768543902370665, 0.7190573745303683]","[0.6884003058075905, 0.6892713308334351, 0.694384478032589, 0.6809608414769173, 0.6706739664077759, 0.6738949045538902, 0.6705855578184128, 0.6758969202637672, 0.6714631989598274, 0.6761769577860832]",0.22077922077922077
9,0.8051948051948052,"[0.6943484048048655, 0.68642748064465, 0.6751342597934935, 0.7039788481261995, 0.6947618085477087, 0.6934310214387046, 0.681786275572247, 0.707019125421842, 0.6915613553590245, 0.6951021585199568]","[0.6521113961935043, 0.6542421951889992, 0.6494050994515419, 0.6588223502039909, 0.6603550687432289, 0.6567325070500374, 0.6574718207120895, 0.6674317568540573, 0.6710823029279709, 0.662060558795929]",0.19480519480519481
