,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.6067389332585864, 0.4798072220550643, 0.4482987005677488, 0.47271361926363575, 0.47200205942822826, 0.46804458689358497, 0.4368928290075726, 0.5511720577358372, 0.5378764322441485, 0.46507721927223933]","[0.4853276051580906, 0.39718051441013813, 0.3606480211019516, 0.34742096811532974, 0.34911793237552047, 0.3589671910740435, 0.3699459058698267, 0.37586675956845284, 0.3805997900199145, 0.3876871062675491]",0.02564102564102564
1,0.9230769230769231,"[0.6609667787949244, 0.6579948026272986, 0.6204021846254667, 0.6639892392688327, 0.6505000963807106, 0.6701672660807768, 0.7025496972103914, 0.7294461408423053, 0.587831498020225, 0.7844740231004026]","[0.6902218535542488, 0.6917373165488243, 0.6928810141980648, 0.6900968588888645, 0.6978847868740559, 0.7191183418035507, 0.7339294105768204, 0.7296129800379276, 0.7666932009160519, 0.794409554451704]",0.07692307692307693
2,0.6794871794871795,"[0.7138071176078584, 0.694007522530026, 0.704200396935145, 0.7005508657958772, 0.6825738615459866, 0.6903187930583954, 0.6930185771650739, 0.698026203446918, 0.7126421597268846, 0.6838775045341916]","[0.6642450615763664, 0.6609731540083885, 0.6571486219763756, 0.6568345353007317, 0.6559718251228333, 0.6557750552892685, 0.6573523357510567, 0.658011831343174, 0.6611962839961052, 0.6610502302646637]",0.32051282051282054
3,0.6410256410256411,"[0.7450730370150672, 0.7102629923158221, 0.6724780682060454, 0.6909648329019547, 0.6865106771389643, 0.7332615256309509, 0.6869666907522414, 0.6970429834392335, 0.6758549908796946, 0.6850590209166209]","[0.6710162684321404, 0.6644791662693024, 0.6613569483160973, 0.661758303642273, 0.6642623469233513, 0.658903531730175, 0.6581742987036705, 0.6623802185058594, 0.6687699928879738, 0.669806718826294]",0.358974358974359
4,0.7307692307692307,"[0.7064357681406869, 0.7028568800952699, 0.6924458278550042, 0.6935392452610863, 0.6929624941613939, 0.7012249645259645, 0.7038740002446704, 0.7025391807158788, 0.700180419617229, 0.6954129967424605]","[0.7325529158115387, 0.7266239523887634, 0.7293770834803581, 0.7233687043190002, 0.7226857021450996, 0.7249269410967827, 0.7222673371434212, 0.7192943170666695, 0.7220490351319313, 0.7236919552087784]",0.2692307692307692
5,0.8461538461538461,"[0.7175088491704729, 0.6894218871990839, 0.6604851567082934, 0.6492859621842703, 0.6481260359287262, 0.6414700763093101, 0.6870651129219267, 0.7123542668090926, 0.7300505265593529, 0.7164876821140448]","[0.6858960166573524, 0.6711962297558784, 0.6664758324623108, 0.675344705581665, 0.6852728612720966, 0.7126344218850136, 0.7311329022049904, 0.7357755042612553, 0.7320948243141174, 0.7414107471704483]",0.15384615384615385
6,0.7307692307692307,"[0.6836100419362386, 0.6894962870412402, 0.6983396278487312, 0.6878418442275789, 0.6883262975348367, 0.6978019062015746, 0.6837971342934502, 0.7048416626122262, 0.69444363978174, 0.6974487486812804]","[0.6916870400309563, 0.6988870874047279, 0.6985280066728592, 0.6950600147247314, 0.6977384611964226, 0.6913891583681107, 0.6929820850491524, 0.6915237531065941, 0.6934254467487335, 0.692094698548317]",0.2692307692307692
7,0.5769230769230769,"[0.7493591474162208, 0.7219681325885985, 0.7040829774406221, 0.695792954829004, 0.7276298221614625, 0.6966860095659891, 0.7016685124900606, 0.6981887088881599, 0.6720664385292265, 0.7016529788573583]","[0.7571065947413445, 0.7520119398832321, 0.7531515136361122, 0.7621272876858711, 0.7585794925689697, 0.7543108388781548, 0.7547067105770111, 0.751245953142643, 0.7595052048563957, 0.7492266595363617]",0.4230769230769231
8,0.8051948051948052,"[0.7050845523675283, 0.6930765931804975, 0.7002529617812898, 0.6751135653919644, 0.7063328839010663, 0.7175432046254476, 0.693658654888471, 0.6788941439655092, 0.7002369198534224, 0.6804109546873305]","[0.6839175261557102, 0.6810785606503487, 0.6783771514892578, 0.6817839816212654, 0.6838113516569138, 0.6860256046056747, 0.6923326998949051, 0.693576842546463, 0.6959198638796806, 0.6905041858553886]",0.19480519480519481
9,0.7012987012987013,"[0.7121487640672259, 0.6951332522763146, 0.6877520316176944, 0.6905678990814421, 0.6806408729818132, 0.6904343813657761, 0.6955213944117228, 0.690499484539032, 0.6801727397574319, 0.6898336658875147]","[0.6851537823677063, 0.6698042079806328, 0.6554285287857056, 0.6526913866400719, 0.6486930027604103, 0.6507887542247772, 0.655024379491806, 0.6599133759737015, 0.6547906249761581, 0.6557198986411095]",0.2987012987012987
