,RMSE,Train Losses,Test Losses,MAE
0,0.8564648628234863,"[1.3812446594238281, 1.2202068567276, 1.1794198751449585, 1.1441633701324463, 1.1263269186019897, 1.1079156398773193, 1.0913426876068115, 1.077821969985962, 1.0626693964004517, 1.0547666549682617]",1.1196794509887695,0.8564648628234863
1,0.8386663198471069,"[1.3033432960510254, 1.1442346572875977, 1.1182682514190674, 1.0889496803283691, 1.06771981716156, 1.0619066953659058, 1.0504918098449707, 1.0418035984039307, 1.0350466966629028, 1.0200419425964355]",1.1291358470916748,0.8386663198471069
2,0.822957456111908,"[1.2762435674667358, 1.1343321800231934, 1.1050662994384766, 1.085532546043396, 1.0647547245025635, 1.054694652557373, 1.0459047555923462, 1.0317202806472778, 1.0264892578125, 1.022486925125122]",1.0393052101135254,0.822957456111908
3,0.8363635540008545,"[1.293491244316101, 1.1372840404510498, 1.110714077949524, 1.097139835357666, 1.0841089487075806, 1.070993185043335, 1.0534089803695679, 1.0418570041656494, 1.040922999382019, 1.023466944694519]",1.1221650838851929,0.8363635540008545
4,0.8691554665565491,"[1.348691701889038, 1.194016695022583, 1.1526820659637451, 1.1266937255859375, 1.1127355098724365, 1.0906809568405151, 1.0855605602264404, 1.0813521146774292, 1.0727629661560059, 1.067859411239624]",1.1858271360397339,0.8691554665565491
5,0.8344227075576782,"[1.3143209218978882, 1.1539522409439087, 1.1337538957595825, 1.1047381162643433, 1.0877877473831177, 1.0663087368011475, 1.0625758171081543, 1.0422452688217163, 1.0345385074615479, 1.018631100654602]",1.0888546705245972,0.8344227075576782
6,0.8336477875709534,"[1.2938292026519775, 1.1294124126434326, 1.1022981405258179, 1.0860968828201294, 1.0627079010009766, 1.0453602075576782, 1.0291264057159424, 1.015730381011963, 1.0098166465759277, 1.0044903755187988]",1.0990687608718872,0.8336477875709534
7,0.836603045463562,"[1.2754993438720703, 1.1177442073822021, 1.091603398323059, 1.073641061782837, 1.0618829727172852, 1.0467500686645508, 1.035342812538147, 1.0233627557754517, 1.01274836063385, 1.0034406185150146]",1.09394371509552,0.836603045463562
8,0.8348745703697205,"[1.3344388008117676, 1.1769369840621948, 1.1379077434539795, 1.1208516359329224, 1.098147988319397, 1.086521863937378, 1.0745962858200073, 1.0593008995056152, 1.0543864965438843, 1.0501292943954468]",1.1013323068618774,0.8348745703697205
9,0.8312314748764038,"[1.2864681482315063, 1.1384674310684204, 1.1141568422317505, 1.0825506448745728, 1.060409665107727, 1.0478681325912476, 1.0343667268753052, 1.028648018836975, 1.0205364227294922, 1.0103185176849365]",1.0874139070510864,0.8312314748764038
